201005,97.1
201006,97
201007,96.6
201008,96.6
201009,96.6
201010,96.9
201011,96.7
201012,96.6
201101,96.3
201102,96.3
201103,96.6
201104,96.9
201105,97
201106,96.7
201107,96.7
201108,96.8
201109,96.8
201110,96.7
201111,96.5
201112,96.5
201201,96.2
201202,96.4
201203,96.8
201204,97.1
201205,96.9
201206,96.5
201207,96.4
201208,96.5
201209,96.7
201210,96.7
201211,96.4
201212,96.3
201301,96
201302,96.1
201303,96.4
201304,96.7
201305,96.9
201306,96.9
201307,97
201308,97.3
201309,97.4
201310,97.6
201311,97.5
201312,97.5
201401,97.2
201402,97.3
201403,97.7
201404,99.8
201405,100.1
201406,100.1
201407,100.3
201408,100.3
201409,100.3
201410,100.4
201411,100.1
201412,100
201501,99.5
201502,99.4
201503,99.8
201504,100.2
201505,100.3
201506,100.2
201507,100.1
201508,100.1
201509,100.1
201510,100.1
201511,100.1
201512,100
201601,99.5
201602,99.4
201603,99.5
201604,99.8
201605,99.9
201606,99.8
201607,99.6
201608,99.6
201609,99.6
201610,99.8
201611,99.8
201612,99.8
201701,99.6
201702,99.6
201703,99.8
201704,100.1
201705,100.3
201706,100.2
201707,100.1
201708,100.3
201709,100.3
201710,100.6
201711,100.7
201712,100.7
201801,100.4
