,date,log,ma,original
0,197102,0.48268928320316373,0.4977976691379677,0.0
1,197103,0.5051075419484352,0.5215745100047197,0.6079027355623187
2,197104,0.524104757566457,0.5418935924564804,1.2084592145015063
3,197105,0.5458938236298838,0.5651055581059404,0.5970149253731428
4,197106,0.6151932235036295,0.6392895343670673,0.8902077151335227
5,197107,0.5657579250624156,0.5863794814570146,0.0
6,197108,0.5657579250624156,0.5863794814570146,0.0
7,197109,0.5607880748856653,0.5810445399094167,0.8823529411764622
8,197110,0.4859503495519668,0.5011733057014486,0.29154518950437736
9,197111,0.4845367688432356,0.4996779472939455,0.2906976744186088
10,197112,0.4346662676061319,0.44690945974285023,0.28985507246377223
11,197201,0.4334097648800661,0.4455877340978481,0.2890173410404665
12,197202,0.4562479047526269,0.4696031039345423,0.2881844380403294
13,197203,0.4309184373633368,0.4428909027909394,0.28735632183908455
14,197204,0.4260207677986516,0.4376969520122796,1.146131805157589
15,197205,0.40114658103935774,0.41155288481286556,0.28328611898017403
16,197206,0.3753621713282085,0.38444988783610845,0.5649717514124374
17,197207,0.39776629229308913,0.40785812753648326,0.28089887640449834
18,197208,0.42005311348771723,0.43120079793797594,0.28011204481791124
19,197209,0.37221748233324803,0.3809488535848167,0.27932960893855147
20,197210,0.4373355081099817,0.44950393180392695,1.1142061281337008
21,197211,0.45789807780411973,0.4711928078796956,0.5509641873278316
22,197212,0.478243474445339,0.4927003189643362,0.5479452054794598
23,197301,0.4983752453599166,0.5140288012164125,0.5449591280653835
24,197302,0.5605254695499662,0.5803476680554182,1.0840108401083972
25,197303,0.6625198952511235,0.6904495652748156,1.6085790884718538
26,197304,0.6958670661657118,0.7268647028837152,1.5831134564643838
27,197305,0.7929125378829172,0.8331276561721643,1.558441558441562
28,197306,0.8275656906372664,0.8712981687889024,1.0230179028132955
29,197307,0.86373207959618,0.9111810683290332,0.7594936708860688
30,197308,0.8615500265260145,0.9087764213781272,0.25125628140703876
31,197309,0.9900287137824426,1.0525833315772755,2.0050125313283313
32,197310,0.9984722755148834,1.0621079232745694,1.2285012285012284
33,197311,1.0828972375780843,1.1577800015150488,1.6990291262135817
